name,lat,lng,rating,user_ratings_total,vicinity
Sri Ramakrishna Departmental Stores,12.9103887,77.6038093,0.0,0,"413, BTM Layout, Bengaluru"
SLV RICE CARNAR,12.9089824,77.6045953,5.0,1,"154, BTM Layout, Bengaluru"
Food Palace,12.9174058,77.60316859999999,4.0,1010,"beside Food Palace, 60, 1st B Cross Road, KEB Colony, Mico Layout, BTM 1st Stage, Bengaluru"
Family Super Market,12.9173744,77.6028699,4.2,471,"No.32-, 33, 1st B Cross Road, Jayanagar 3rd Block East, BTM 1st Stage, Bengaluru"
Tendukheda,12.9188722,77.60380549999999,0.0,0,"34, 8th B Main Road, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru"
Behtar Enabled BTM Stage 2,12.9064463,77.6114228,4.2,19,"131, 20th Cross Road, EWS Colony, Stage 2, BTM Layout, Bengaluru"
Kwik mart,12.9126732,77.6011252,4.9,8,"BLOCK-C, BTM Layout 2nd Stage, BTM Layout, Bengaluru"
Spar Hypermarket,12.907769,77.6011043,4.2,5003,"Lower Ground Floor, Vega City Mall, 172/1, Srinivas Industrial Estate, Bannerghatta Road, Dollar Layout, 3rd Phase, J. P. Nagar, Bengaluru"
Tokari Vegetable Fruits and Grains,12.902452,77.60910419999999,4.2,91,"No 19, Anugraha Layout, Ramanashree Enclave, Bilekahalli, Bengaluru"
Easy Buy Supermarkets,12.9043053,77.6024425,3.7,10,"14, Purva Heights Road, Bilekahalli, Bengaluru"
7 Days Market | Fruits Vegetables Supermarket Grocery,12.9034882,77.6022325,3.2,10,"B D 2/173, M Rd, NS Palya, BTM Layout, Bengaluru"
Greens and Groceries,12.9010526,77.6111009,4.6,5,"Krishna Nilayam, 1st Cross Road, Phase 2, Anugraha Layout, Ramanashree Enclave, Bilekahalli, Bengaluru"
Madeena beef stall,12.9259293,77.6036436,4.3,24,"play ground, opp. lili, 40, Good cross, Bismillahnagar, S.G. Palya, Bengaluru"
SPAR Corporate Office (Max Hypermarket),12.9248078,77.6016988,5.0,2,"Floor No: 7, Indiqube “ARCADE, SUBRAMANYA ARCADE, Max Hypermarkets India Pvt Ltd No: 12/2, Tower A, Bannerghatta Road, OLd Gurappanapalya, BTM 1st Stage, Bengaluru"
Joe Super Market,12.9204213,77.59737179999999,3.8,34,"No. 1385, 39, South, East End A Main Road, Jayanagara 9th Block, Jayanagar, Bengaluru"
Sri Raghavendra Mini Mart,12.9262912,77.60193939999999,0.0,0,"28, Tavarekere, 4th Cross Road, Balaji Nagar, S.G. Palya, Bengaluru"
Kunchum Foods Supermarket,12.9156533,77.59518600000001,4.5,67,"1947, 28th Main, 9th Block, 3rd Phase, Jayanagar, Bengaluru"
HRK STORE,12.9270894,77.60329449999999,4.2,25,"5th Cross Road, Mosque Rd, #6/72, Bannerghatta Road, Bismillahnagar, S.G. Palya, Bengaluru"
siddeshwara Traders,12.8995297,77.6077964,5.0,2,"21, Someswar Layout, Ramanashree Enclave, Bilekahalli, Bengaluru"
Annapoorna Rice Traders,12.9058275,77.62271179999999,4.2,17,"Virat Nagar, Bommanahalli, Bengaluru"
Muzammil Ahmed Chiken Shop,12.8992066,77.6096244,5.0,1,"85, Someshwara Layout, Bengaluru"
More Supermarket Gayatrinagar,12.9990472,77.5601939,3.7,298,"XHX6+J38, Tharasu Road, Maruthi Extension, Rajajinagar, Bengaluru"
Go Organico,13.0068979,77.5710404,4.7,19,"249, Ground Floor Between 16th and, 17th Cross Road, Sampige Road, Malleshwaram, Bengaluru"
Reliance Fresh,13.0068057,77.564622,3.5,92,"Ward No. 7, Emami Nest, Shop Unit No. 001 Municipal No. 36/2, 16Th Cross, 8Th Main Bmp, 10th Main Road, Malleshwaram, Bengaluru"
Save More Supermarket - SESHADRIPURAM,12.9935419,77.5768105,3.9,702,"31, 1st Main Road, Seshadripuram, Bengaluru"
METRO Cash & Carry - Yeshwantpur,13.0145751,77.5550944,4.2,25895,"Ward No.9, Industrial Suburbs, Survey No. 26/3, A Block, Subramanyanagar,2 State, Rajajinagar, Bengaluru"
Pneumec,13.0017818,77.5530856,4.7,315,"No. 139/4, 1st Floor, 1st Main, Doctor Rajkumar Road, 1st Block, Rajajinagar, Bengaluru"
More Supermarket - Jayamahal,12.9997717,77.5993681,3.9,1576,"Jaymahal Store, 11, 1st Main Road, Jayamahal Extension, Jayamahal, Bengaluru"
Spar Hypermarket,12.991797,77.57043689999999,4.1,8353,"Malleshwaram, Bengaluru"
Light Metals,13.0029084,77.5478212,4.3,73,"7/B,Ground Floor, 11th C Cross Road, West of Chord Road 2nd Stage, Mahalakshmipuram, Bengaluru"
Kwality Big Bazaar,13.0284919,77.5715567,4.0,507,"51, 80 Feet Road, Mathikere, Bengaluru"
M F FRUIT MERCHANT,13.0048795,77.5776762,0.0,0,"14th Criss Road Vylikaval, Sadjashivji Nagar, Kodandarampura, Malleshwaram, Bengaluru"
Namdhari Fresh Vyalikaval,13.003419,77.5782742,4.2,93,"13, near Canara Bank C, 1, 2nd Main Road, Vyalikaval, Malleshwaram, Bengaluru"
Vinay Super Saver,13.0021946,77.57217419999999,4.2,46,"near Canara Bank, 81, Preksha Building, 10 & 11 Cross, near Canara Bank, 1st Main Road, Malleshwaram, Bengaluru"
Mohan Bhandar Supermart,13.0019951,77.5707529,3.9,188,"No 119/1, Srinidhi Complex, near Sampige Road, 11th cross, Malleshwaram, Bengaluru"
GIRIRAM FOODS,13.0032194,77.56940949999999,4.9,22,"116/3, Margosa Road, Malleshwaram, Bengaluru"
HOPCOMS,13.00647,77.5822264,5.0,1,"Janata Bazar, Kempe Gowda Road, Sadashiva Nagar, Gandhi Nagar, Bengaluru"
Future Mart,12.9997716,77.5771515,0.0,0,"10, 2nd Main Road, Vyalikaval, Bengaluru"
Behtar Supermarket,12.9988896,77.5765811,3.7,73,"XHXG+HJ4, 2nd Main Road, HN Layout, Guttahalli, Bengaluru"
Future mart,12.9979618,77.5784066,5.0,1,"No 27, pg halli, Bengaluru"
DMart Malleshwaram,12.997324,77.57414399999999,3.9,68,"165, CHIDANANDA SQUARE, COCONUT AVENUE, 5th Cross Road, Malleshwaram, Bengaluru"
GoHappy Hypermarket,13.004952,77.56540989999999,4.3,175,"Between 13th and 15th cross, 8th Main Road, Malleshwaram, Bengaluru"
Reliance SMART Bazaar,12.9971006,77.5737467,3.9,866,"No 166, Housuja'S Mall Coconut Avenue Rd, 5th Cross Road, Malleshwaram, Bengaluru"
More Supermarket,12.9995522,77.58175849999999,3.9,896,"3363,3364, G/F, 4th Main Road, 2nd Stage, Gayatrinagar, Rajajinagar, Bengaluru"
S L N Stores,12.9964521,77.5755856,4.7,30,"No 20, near Bike N Toys, D T Street, Pipeline Road, Malleshwaram, Bengaluru"
Magneto Medical Centre,12.9982051,77.5671385,3.0,2,"36, 6th Main, 7th Cross, Malleshwaram, Bengaluru"
Paradise General Store,12.9978657,77.58412969999999,4.3,3,"Nandhini Deluxe, Kumarapark West, Seshadripuram, Bengaluru"
SK Provision Store,13.0007524,77.5632311,4.7,7,"1, 1st Main Gandhi Grama, Srirampura, Bengaluru"
Heshikart,12.992595,77.5761873,5.0,29,"No 166/2 J Lingaiah Road, 1st Main Road, Kumara Park West, Seshadripuram, Bengaluru"
Yogesh Fruit Shop,12.9961375,77.5646091,5.0,2,"1, 4th Main Road, Srirampura, Bengaluru"
Sri Manjunatha Banana & fresh fruit,13.0005471,77.5605295,4.8,12,"3572/32, 1st Cross Road, Gayatrinagar, Gayathri Nagara, Bengaluru"
Harish Upper,12.9999124,77.5603114,5.0,1,"No 11, Main Road, Gayatri Nagar, Bengaluru"
S N Fruits And Vegetables Stall,12.995201,77.56377839999999,0.0,0,"No1358 3rd Main Road, 3rd Cross Road, Nagappa Block, Lakshminarayanapuram, Srirampura, Bengaluru"
S K Fresh Mart,12.9920548,77.56780669999999,0.0,0,"No 20/4, Kranti Kavi Saravanan Road, Subhashnagar, Srirampura, Bengaluru"
GANESH TRADERS,13.0101818,77.5582759,4.0,2,"243, 4th Main Road, Milk Colony, Subramanyanagar,2 State, Malleshwaram, Bengaluru"
Kareem Store,12.9913018,77.5677463,4.9,8,"Shop No:#1054, 5th Main Road, Srirampura, Bengaluru"
KPN Fresh - Rajajinagar 2nd Stage,13.00534,77.55761199999999,4.6,144,"A Block, Plot No 2388/A & 2361/31, Ground Floor, near East West Public School, 12th Main Road, 2nd Stage, Rajajinagar, Bengaluru"
NSV Banana Mandi,12.9987392,77.559393,4.6,48,"7th Cross Road, Gayatrinagar, Rajajinagar, Bengaluru"
Peekay Mart,13.005235,77.593902,4.1,996,"52, JC Nagar 2nd Main Road, Sharada Colony, Munireddypalya, Jayamahal, Bengaluru"
Sri Suresh Provision Stores,13.0012914,77.5567246,3.9,39,"2H24+GM9, 10th Main Road, Gayatrinagar, Rajajinagar, Bengaluru"
Sunday Bazaar,13.0250866,77.57187379999999,2.8,4,"2HGC+2PQ, Ashwath Nagar, Devasandra Layout, Bengaluru"
Ayath Fruits Mr. Irfan Pasha,13.0157144,77.5918111,3.3,3,"33, 3rd Main Road, Rahmath Nagar, RT Nagar, Bengaluru"
ishtamart,13.0122714,77.5560644,4.9,27,"22nd floor, World Trade Center, BRIGADE GATEWAY, Campus, Malleshwaram, Bengaluru"
Parrot - Rathore Marketing,12.9913625,77.56255,4.6,45,"30, 13th Cross Road, Lakshminarayanapuram, Bengaluru"
CHALUKYA SUPERMARKET,12.9871286,77.5784765,4.1,105,"near shivananda circle, 12/6, Hare Krishna Road, Madhava Nagar, Gandhi Nagar, Bengaluru"
Gofresh,13.0109747,77.5550185,3.7,41,"Orion Mall, BRIGADE GATEWAY, 26/1, Doctor Rajkumar Road, West, Malleshwaram, Bengaluru"
New Corner Store,13.0105435,77.5951072,4.1,55,"186, JC Nagar Main Road, Devara Jeevanahalli, Bengaluru"
Aslam Pasha,13.0087389,77.5542103,0.0,0,"52, Rajajinagar, Bengaluru"
The Organic World - Sanjaynagar,13.0268181,77.5793046,4.9,12,"No 131/A, 80 Feet Road, RMV 2nd Stage, Ashwath Nagar, Bengaluru"
SVR MART,13.0109854,77.5968888,5.0,1,"29/1 PG ROAD JC NAGAR BANGALORE 560006, Bengaluru"
Vardhaman Traders - The Kirana Shop,13.0219295,77.55885239999999,4.1,17,"459/6, Triveni Main Road, Kamla Nehru. Extension, Yeswanthpur, Bengaluru"
Flavors,12.9920441,77.5917624,3.8,10,"40, 8th Main Road, 7th Cross, Vasanth Nagar, Bengaluru"
Reliance SMART Bazaar,13.0124606,77.5531093,3.8,611,"Ward No 14, adjacent Shell Petrol Bunk, No 5 & 6, Chord Road, Industrial Suburb, Rajajinagar, Bengaluru"
Patanjali Shop,12.9775087,77.6383823,4.2,365,"555, 9th A Main Road, Stage 2, Hoysala Nagar, Indiranagar, Bengaluru"
MK Retail Supermarket,12.9786832,77.6445956,4.2,6728,"734, Chinmaya Mission Hospital Road, Indiranagar, Bengaluru"
Karanataka Store,12.9716729,77.6318819,0.0,0,"XJCJ+MQ6, Jogupalya Road, Someshvarapura Layout, Jogupalya, Bengaluru"
Fresh Buy,12.972154,77.655367,5.0,1,"No: 1098/1, Shri Shamanna Complex, 1st A Cross, 2nd Main, Behind Durga Temple, Sishu Griha School Road, Bhoomi Reddy Colony, New Tippasandra, Bengaluru"
More Supermarket - Tippasandra (New) Bangalore,12.9715799,77.6556359,3.9,2473,"opp. to Durga Temple, New Thippasandra Main Road, Beml Gate, HAL 3rd Stage, New Tippasandra, Bengaluru"
More Supermarket - DOMLUR,12.9595778,77.6383627,4.0,2985,"296, DSR Ridge, 7th Cross Road, Domlur I Stage, 1st Stage, Domlur, Bengaluru"
More Supermarket - SM Bengaluru Airport Road,12.9587681,77.6543441,3.6,99,"Surya Chambers, 6, Wind Tunnel Road, Murugeshpalya, Kaveri Nagar, Bengaluru"
Spar Hypermarket,12.99282,77.6613679,3.9,1531,"3rd Floor, Gopalan Signature Mall, Old Madras Road, Nagavarapalya, C V Raman Nagar, Bengaluru"
Mano Supermarket,12.9592968,77.64469319999999,4.4,17,"XJ5V+PV8, HAL Old Airport Road, Kodihalli, Bengaluru"
Organic Mandya,12.9775704,77.64214520000002,4.7,997,"676, 9th A Main Road, Defence Colony, Indiranagar, Bengaluru"
BRYT BAZAAR,12.9820326,77.63946729999999,3.8,4,"21, 7TH CROSS, 2ND A MAIN, BINAMANGALA , HOYSALA NAGAR, 1ST STAGE, Indiranagar, Bengaluru"
Nature's Basket,12.9783126,77.6451532,3.9,99,"Ward No. 80, Ward Name, Ground Floor, 723, C.M.H. Main Road 1st Binnamangala Stage, Hoysala Nagar, Indiranagar, Bengaluru"
KPN Fresh - Indiranagar,12.9778965,77.6361403,4.6,498,"242, 13th Cross Road, Stage 2, Hoysala Nagar, Indiranagar, Bengaluru"
Prabhav-GBP,12.9820678,77.64636569999999,0.0,0,"Somewhere, Bengaluru"
SRK SUPER MARKET,12.9719692,77.6421628,4.3,252,"441, 9th Main Road, HAL 2nd Stage, Indiranagar, Bengaluru"
Shivam Agency,12.9813935,77.6337235,4.3,92,"opposite 6th Mile Customs, 4&5/1, 17th F Cross Road, Binnamangala, Hoysala Nagar, Indiranagar, Bengaluru"
Green Mart,12.9728701,77.63503279999999,4.0,6,"3256, 13th Cross Road, HAL 2nd Stage, Indiranagar, Bengaluru"
go green asia outlet,12.9705723,77.6392242,4.7,3,"944, 11th Main Road, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru"
SRI BALAJI VENTURES,12.973045,77.6346616,4.2,5,"41, 15th Cross Road, Eshwara Layout, Indiranagar, Bengaluru"
VK Mini mart,12.9728213,77.6347992,4.8,4,"6th Main Thimma, Hanumaiah Reddy Road, 2nd Stage, Indiranagar, Bengaluru"
Safa Super Bazar,12.9727883,77.6348085,4.4,15,"90, 6th Main, Thimma Reddy Road, Near-New Shanti Sagar Hotel, Indiranagar, Bengaluru"
Ratnadeep Supermarket,12.9700043,77.639882,4.2,1385,"XJCQ+2X2, 12th Main Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru"
H K G N VEGETABLE STORES,12.9774506,77.6317224,3.9,20,"11/1 Lakshmipuram, 1st Main Road, Halasuru, Bengaluru"
The Organic World - Indiranagar,12.9704614,77.64509129999999,4.4,339,"12th Main, 7th Cross Road, HAL 2nd Stage, Indiranagar, Bengaluru"
Vishal Mega Mart,12.9723628,77.6487877,3.9,924,"806/1, New Thippasandra Main Road, HAL 3rd Stage, Stage 3, New Tippasandra, Bengaluru"
M H Grand Mart,12.9761112,77.6305381,4.4,30,"Grand Mart, M H, Halasuru, Bengaluru"
GNANI MART,12.972531,77.649874,4.3,9,"SHOP NO 1, Narayana Reddy Complex, NO 30, New Thippasandra Main Road, New Tippasandra, Bengaluru"
MAHATMANE,12.978569,77.6298114,4.8,18,"opp. Metro Pillar No 104, 21st Cross Road, Halasuru, laksmipuram, Bengaluru"
Nanjundeswara Super Market,12.9677533,77.6391785,4.0,11,"XJ9Q+4M3, 13th B Main Road, Channakesahava Nagar, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru"
M S RICE TRADERS,12.9680126,77.6445576,4.6,40,"XJ9V+6R3, 2nd Cross Road, HAL 2nd Stage, Indiranagar, Bengaluru"
Reliance Fresh,12.9732546,77.65112359999999,3.7,1614,"XMF2+8C5, 6th Main Road, Puttappa Colony, New Tippasandra, Bengaluru"
Xx,12.9677343,77.64546469999999,3.8,16,"XJ9W+35W, 14th Main Road, Indiranagar, Bengaluru"
Naturix,12.9720601,77.6511459,4.0,1,"1830, 2nd Main Road, HAL 3rd Stage, Indiranagar, Bengaluru"
Vinayaka Stores,12.9734065,77.651997,4.3,4,"XMF2+9Q9, 3rd Main Road, HAL 3rd Stage, New Tippasandra, Bengaluru"
Mohan Store,12.9745384,77.65246499999999,3.7,11,"5th Cross Road, opposite, Church Street, HAL 3rd Stage, New Tippasandra, Bengaluru"
Bhoomi Rice Traders,12.9716415,77.65145319999999,4.3,53,"1855, 4th Main Road, Hal, HAL 3rd Stage, Stage 3, New Tippasandra, Bengaluru"
Patanjali shree Ramdev Store,12.9698057,77.63089459999999,3.9,245,"sumeshwaraura Authority of India, 33/2, 6th Cross Road, Cambridge Layout, Bengaluru"
Supermarket,12.9697514,77.6303621,0.0,0,"7th Cross Road, Domlur, Bengaluru"
CITY SUPER MART,12.9755389,77.6272455,4.0,6,"1st Main Rd, Temple Tree Apartment Road, Eshwara Layout, Indiranagar, Bengaluru"
Food Corner Departmental store,12.9651936,77.64417999999999,3.8,25,"No:2318, KM plaza, 2317, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru"
Veera's mart,12.9758088,77.6549567,4.7,16,"904 ,1st main, 1st Cross Road, 1st Block, HAL 3rd Stage, New Tippasandra, Bengaluru"
Sagar Super Bazar,12.9644366,77.6356739,4.2,354,"3, Professor U R Rao Road, 3rd Phase, BDA Colony, Domlur Village, Domlur, Bengaluru"
TOP In Town Super Market,12.9679683,77.6517113,4.0,255,"near NAL Quarters Scientist Apartment, 1301, 10th Main Road, Jeevan Bima Nagar, Bengaluru"
New ragam stores,12.9702465,77.6539789,0.0,0,"oppo, 6th Main Road, LIC Colony, New Tippasandra, Bengaluru"
Fresh 'N' More Supermarket,12.9703248,77.6543562,4.1,470,"Near Balamurgan Temple HAL 3rd Stage, 15, 6th Main Road, Puttappa layout, Jeevan Bima Nagar, Bengaluru"
Nilgiris Supermarket,12.9725132,77.6260269,4.3,19,"9/1, Cambridge Cross Road, Halasuru, Bengaluru"
SLV STORE (Babu),12.9627162,77.6365146,4.3,7,"XJ7P+3JJ, BDA Colony, Domlur, Bengaluru"
Vedika Rice Traders,12.9695586,77.6550177,4.3,7,"2 10 Th Sector, 7th Main Road, LIC Colony, HAL 3rd Stage, Jeevan Bima Nagar, Bengaluru"
Family Mall,12.9586996,77.6382479,4.0,940,"Near-Srinidhi Sagar Deluxe, 304, 7th Cross Road, Domlur, Bengaluru"
LITTLE MART,12.961648,77.6372856,4.6,16,India
WASIM FRUIT SHOP,12.9753074,77.6233742,5.0,1,"near ULSOOR MARKET, BAZAR STREET, near ULSOOR MARKET, Ulsoor Road, Bengaluru"
CEEKAY SUPERMARKET ll,12.9621097,77.6469034,4.0,28,"No.128, 5th Phase, HAL 2nd Stage, Kodihalli, Bengaluru"
Ramdas Stores,12.9753387,77.6229965,3.8,20,"138, Bazaar Street, Halasuru, Someshwarpura"
SADAF STORE,12.9686672,77.6253311,4.5,17,"Gowthamapuram, Jogupalya, Bengaluru"
Ceekay Supermarket,12.9603606,77.63634909999999,4.2,872,"38, 1st Main Road, Domlur, Bengaluru"
Freshpik,12.9735618,77.6205177,3.9,115,"Trinity Circle, 4th Floor, 1 MG Mall, Sivanchetti Gardens, Bengaluru"
Sagar Super Bazaar,12.9579244,77.6448309,4.2,42,"XJ5V+5W8, Kodihalli, Bengaluru"
New top in town supermarket,12.956462,77.6380816,3.0,6,"Victoria II Apartment, Patel Ram Reddy Road, Bengaluru"
FRESH VEGETABLE,12.9627024,77.6569138,0.0,0,"near Durga, Maheshwaramma Temple Road, Murugeshpalya, Murugesh Palya, Bengaluru"
